epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2463,1.60094,3.14682,0.00499,0.46251,0.42078,0.41229,0.27601,1.35779,1.98931,0.00816,0.000276926,0.000276926,0.000276926
2,95.0459,1.44753,1.75815,0.00438,0.59492,0.52822,0.56776,0.37809,1.33888,1.39004,0.00794,0.000549102,0.000549102,0.000549102
3,141.551,1.40097,1.3369,0.00419,0.66806,0.59095,0.63998,0.42926,1.286,1.156,0.00732,0.000815781,0.000815781,0.000815781
4,186.816,1.36696,1.17087,0.00413,0.68038,0.60462,0.67624,0.47255,1.23863,1.0424,0.00706,0.00080826,0.00080826,0.00080826
5,232.239,1.33835,1.06401,0.00397,0.73012,0.6335,0.72089,0.50298,1.1863,0.93988,0.00676,0.000800013,0.000800013,0.000800013
6,277.57,1.31251,1.00388,0.00389,0.75542,0.65576,0.74168,0.51577,1.21352,0.90039,0.0069,0.000791767,0.000791767,0.000791767
7,322.837,1.29374,0.95685,0.00381,0.77251,0.69027,0.77723,0.55438,1.16292,0.83299,0.0066,0.00078352,0.00078352,0.00078352
8,368.098,1.27551,0.93018,0.00373,0.84439,0.67443,0.80036,0.56305,1.16855,0.83286,0.00657,0.000775273,0.000775273,0.000775273
9,413.54,1.2604,0.89863,0.00371,0.79835,0.69372,0.7961,0.56474,1.16682,0.80248,0.00656,0.000767026,0.000767026,0.000767026
10,458.946,1.24401,0.87025,0.00368,0.79599,0.72533,0.81385,0.58291,1.12108,0.77663,0.00621,0.00075878,0.00075878,0.00075878
11,504.184,1.23502,0.85246,0.00358,0.82277,0.71375,0.82655,0.60304,1.1293,0.74269,0.00627,0.000750533,0.000750533,0.000750533
12,549.408,1.22544,0.82739,0.00357,0.82029,0.73114,0.83477,0.604,1.12973,0.7308,0.00634,0.000742286,0.000742286,0.000742286
13,594.708,1.20935,0.80882,0.00353,0.85081,0.76056,0.85363,0.62307,1.09373,0.70635,0.00594,0.00073404,0.00073404,0.00073404
14,639.839,1.2043,0.79521,0.00347,0.8396,0.74581,0.85465,0.62906,1.08306,0.69496,0.006,0.000725793,0.000725793,0.000725793
15,685.417,1.19377,0.78755,0.00343,0.83348,0.77821,0.86937,0.63583,1.07317,0.67461,0.00593,0.000717546,0.000717546,0.000717546
